GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,NAME,B18AA2010,B18AB2010,B18AC2010,B18AD2010,B18AE2010
"G0100010","2010","Alabama","01","Autauga County","001","Autauga County",42855,9643,232,972,869
"G0100030","2010","Alabama","01","Baldwin County","003","Baldwin County",156153,17105,1216,5068,2723
"G0100050","2010","Alabama","01","Barbour County","005","Barbour County",13180,12875,114,1030,258
"G0100070","2010","Alabama","01","Bibb County","007","Bibb County",17381,5047,64,220,203
"G0100090","2010","Alabama","01","Blount County","009","Blount County",53068,761,307,2502,684
"G0100110","2010","Alabama","01","Bullock County","011","Bullock County",2507,7666,23,632,86
"G0100130","2010","Alabama","01","Butler County","013","Butler County",11399,9095,60,232,161
"G0100150","2010","Alabama","01","Calhoun County","015","Calhoun County",88840,24382,540,2835,1975
"G0100170","2010","Alabama","01","Chambers County","017","Chambers County",20112,13257,69,392,385
"G0100190","2010","Alabama","01","Cherokee County","019","Cherokee County",24081,1208,135,178,387
"G0100210","2010","Alabama","01","Chilton County","021","Chilton County",36713,4230,155,2039,506
"G0100230","2010","Alabama","01","Choctaw County","023","Choctaw County",7731,6012,18,40,58
"G0100250","2010","Alabama","01","Clarke County","025","Clarke County",14070,11336,103,148,176
"G0100270","2010","Alabama","01","Clay County","027","Clay County",11380,2066,55,196,235
"G0100290","2010","Alabama","01","Cleburne County","029","Cleburne County",14079,498,51,184,160
"G0100310","2010","Alabama","01","Coffee County","031","Coffee County",37330,8359,645,2367,1247
"G0100330","2010","Alabama","01","Colbert County","033","Colbert County",43789,8768,267,759,845
"G0100350","2010","Alabama","01","Conecuh County","035","Conecuh County",6788,6149,44,115,132
"G0100370","2010","Alabama","01","Coosa County","037","Coosa County",7648,3582,40,166,103
"G0100390","2010","Alabama","01","Covington County","039","Covington County",32022,4716,214,291,522
"G0100410","2010","Alabama","01","Crenshaw County","041","Crenshaw County",10097,3254,57,296,202
"G0100430","2010","Alabama","01","Cullman County","043","Cullman County",76133,856,408,2120,889
"G0100450","2010","Alabama","01","Dale County","045","Dale County",37236,9679,371,1460,1505
"G0100470","2010","Alabama","01","Dallas County","047","Dallas County",12769,30423,85,244,299
"G0100490","2010","Alabama","01","DeKalb County","049","DeKalb County",60087,1078,969,7401,1574
"G0100510","2010","Alabama","01","Elmore County","051","Elmore County",60455,15900,285,1519,1144
"G0100530","2010","Alabama","01","Escambia County","053","Escambia County",23784,12220,1288,447,580
"G0100550","2010","Alabama","01","Etowah County","055","Etowah County",83823,15796,448,2818,1545
"G0100570","2010","Alabama","01","Fayette County","057","Fayette County",14910,1969,52,139,171
"G0100590","2010","Alabama","01","Franklin County","059","Franklin County",26320,1228,215,3411,530
"G0100610","2010","Alabama","01","Geneva County","061","Geneva County",23127,2539,224,484,416
"G0100630","2010","Alabama","01","Greene County","063","Greene County",1575,7370,17,40,43
"G0100650","2010","Alabama","01","Hale County","065","Hale County",6266,9301,25,80,88
"G0100670","2010","Alabama","01","Henry County","067","Henry County",11865,4942,57,262,176
"G0100690","2010","Alabama","01","Houston County","069","Houston County",71053,26176,446,2113,1759
"G0100710","2010","Alabama","01","Jackson County","071","Jackson County",48348,1781,719,1001,1378
"G0100730","2010","Alabama","01","Jefferson County","073","Jefferson County",349166,276525,1740,23760,7275
"G0100750","2010","Alabama","01","Lamar County","075","Lamar County",12626,1643,24,88,183
"G0100770","2010","Alabama","01","Lauderdale County","077","Lauderdale County",80112,9257,338,1696,1306
"G0100790","2010","Alabama","01","Lawrence County","079","Lawrence County",26647,3938,1953,323,1478
"G0100810","2010","Alabama","01","Lee County","081","Lee County",100006,31901,445,5636,2259
"G0100830","2010","Alabama","01","Limestone County","083","Limestone County",66506,10429,547,3832,1468
"G0100850","2010","Alabama","01","Lowndes County","085","Lowndes County",2859,8310,25,45,60
"G0100870","2010","Alabama","01","Macon County","087","Macon County",3319,17729,29,147,228
"G0100890","2010","Alabama","01","Madison County","089","Madison County",228280,80376,2551,15349,8255
"G0100910","2010","Alabama","01","Marengo County","091","Marengo County",9751,10872,34,206,164
"G0100930","2010","Alabama","01","Marion County","093","Marion County",28791,1184,101,359,341
"G0100950","2010","Alabama","01","Marshall County","095","Marshall County",81464,1494,706,7791,1564
"G0100970","2010","Alabama","01","Mobile County","097","Mobile County",248647,142992,3681,11650,6022
"G0100990","2010","Alabama","01","Monroe County","099","Monroe County",12718,9614,260,142,334
"G0101010","2010","Alabama","01","Montgomery County","101","Montgomery County",90656,125477,589,9735,2906
"G0101030","2010","Alabama","01","Morgan County","103","Morgan County",95404,14185,1042,6495,2364
"G0101050","2010","Alabama","01","Perry County","105","Perry County",3204,7276,17,51,43
"G0101070","2010","Alabama","01","Pickens County","107","Pickens County",11110,8211,28,165,232
"G0101090","2010","Alabama","01","Pike County","109","Pike County",19144,12054,192,1019,490
"G0101110","2010","Alabama","01","Randolph County","111","Randolph County",17532,4607,84,429,261
"G0101130","2010","Alabama","01","Russell County","113","Russell County",28449,22135,219,1040,1104
"G0101150","2010","Alabama","01","St. Clair County","115","St. Clair County",73741,7150,281,1298,1123
"G0101170","2010","Alabama","01","Shelby County","117","Shelby County",161943,20732,553,9173,2684
"G0101190","2010","Alabama","01","Sumter County","119","Sumter County",3326,10316,11,63,47
"G0101210","2010","Alabama","01","Talladega County","121","Talladega County",53739,26055,264,1132,1101
"G0101230","2010","Alabama","01","Tallapoosa County","123","Tallapoosa County",29087,11083,121,918,407
"G0101250","2010","Alabama","01","Tuscaloosa County","125","Tuscaloosa County",129004,57611,526,5416,2099
"G0101270","2010","Alabama","01","Walker County","127","Walker County",61146,3928,251,870,828
"G0101290","2010","Alabama","01","Washington County","129","Washington County",11508,4380,1411,75,207
"G0101310","2010","Alabama","01","Wilcox County","131","Wilcox County",3126,8465,14,14,51
"G0101330","2010","Alabama","01","Winston County","133","Winston County",23409,115,163,444,353
"G0200130","2010","Alaska","02","Aleutians East Borough","013","Aleutians East Borough",660,219,876,1233,153
"G0200160","2010","Alaska","02","Aleutians West Census Area","016","Aleutians West Census Area",2004,332,857,2057,311
"G0200200","2010","Alaska","02","Anchorage Municipality","020","Anchorage Municipality",192498,16226,23130,36327,23645
"G0200500","2010","Alaska","02","Bethel Census Area","050","Bethel Census Area",1894,65,14109,232,713
"G0200600","2010","Alaska","02","Bristol Bay Borough","060","Bristol Bay Borough",481,0,334,15,167
"G0200680","2010","Alaska","02","Denali Borough","068","Denali Borough",1637,10,65,34,80
"G0200700","2010","Alaska","02","Dillingham Census Area","070","Dillingham Census Area",878,11,3470,50,438
"G0200900","2010","Alaska","02","Fairbanks North Star Borough","090","Fairbanks North Star Borough",75175,4423,6879,4433,6671
"G0201000","2010","Alaska","02","Haines Borough","100","Haines Borough",2086,10,230,35,147
"G0201050","2010","Alaska","02","Hoonah-Angoon Census Area","105","Hoonah-Angoon Census Area",1014,8,890,19,219
"G0201100","2010","Alaska","02","Juneau City and Borough","110","Juneau City and Borough",21814,279,3692,2523,2967
"G0201220","2010","Alaska","02","Kenai Peninsula Borough","122","Kenai Peninsula Borough",46857,269,4081,1086,3107
"G0201300","2010","Alaska","02","Ketchikan Gateway Borough","130","Ketchikan Gateway Borough",9176,78,1910,1063,1250
"G0201500","2010","Alaska","02","Kodiak Island Borough","150","Kodiak Island Borough",7522,92,1797,3144,1037
"G0201640","2010","Alaska","02","Lake and Peninsula Borough","164","Lake and Peninsula Borough",380,9,1061,17,164
"G0201700","2010","Alaska","02","Matanuska-Susitna Borough","170","Matanuska-Susitna Borough",75540,856,4901,1957,5741
"G0201800","2010","Alaska","02","Nome Census Area","180","Nome Census Area",1552,27,7199,127,587
"G0201850","2010","Alaska","02","North Slope Borough","185","North Slope Borough",3147,94,5100,596,493
"G0201880","2010","Alaska","02","Northwest Arctic Borough","188","Northwest Arctic Borough",846,37,6121,71,448
