GISJOIN,YEAR,STATE,STATEA,PLACE,PLACEA,NAME,B18AA1970,B18AB1970,B18AC1970,B18AD1970,B18AE1970
"G0100005","1970","Alabama","01","Abbeville","0005","Abbeville",1899,1094,0,3,
"G0100010","1970","Alabama","01","Adamsville","0010","Adamsville",1683,721,5,3,
"G0100025","1970","Alabama","01","Alabaster","0025","Alabaster",1529,1113,0,0,
"G0100030","1970","Alabama","01","Albertville","0030","Albertville",9772,186,0,5,
"G0100035","1970","Alabama","01","Alexander City","0035","Alexander City",8822,3526,5,5,
"G0100040","1970","Alabama","01","Aliceville","0040","Aliceville",1769,1081,0,1,
"G0100055","1970","Alabama","01","Andalusia","0055","Andalusia",7984,2102,5,1,
"G0100060","1970","Alabama","01","Anniston","0060","Anniston",20596,10891,15,31,
"G0100062","1970","Alabama","01","Anniston Northwest (U)","0062","Anniston Northwest (U)",6583,12,2,12,
"G0100065","1970","Alabama","01","Arab","0065","Arab",4399,0,0,0,
"G0100080","1970","Alabama","01","Ashford","0080","Ashford",1300,678,1,1,
"G0100085","1970","Alabama","01","Ashland","0085","Ashland",1325,594,0,2,
"G0100095","1970","Alabama","01","Athens","0095","Athens",11802,2536,5,17,
"G0100100","1970","Alabama","01","Atmore","0100","Atmore",5138,3067,88,0,
"G0100105","1970","Alabama","01","Attalla","0105","Attalla",6177,1323,10,0,
"G0100110","1970","Alabama","01","Auburn","0110","Auburn",18796,3846,3,122,
"G0100135","1970","Alabama","01","Bay Minette","0135","Bay Minette",5436,1276,10,5,
"G0100140","1970","Alabama","01","Bayou La Batre","0140","Bayou La Batre",2444,215,2,3,
"G0100175","1970","Alabama","01","Bessemer","0175","Bessemer",15936,17442,23,27,
"G0100185","1970","Alabama","01","Birmingham","0185","Birmingham",173911,126388,182,429,
"G0100195","1970","Alabama","01","Blountsville","0195","Blountsville",1253,0,1,0,
"G0100207","1970","Alabama","01","Bluff Park (U)","0207","Bluff Park (U)",12358,1,0,13,
"G0100210","1970","Alabama","01","Boaz","0210","Boaz",5594,23,0,4,
"G0100235","1970","Alabama","01","Brantley","0235","Brantley",710,356,0,0,
"G0100240","1970","Alabama","01","Brent","0240","Brent",1151,939,1,2,
"G0100245","1970","Alabama","01","Brewton","0245","Brewton",4048,2686,7,6,
"G0100250","1970","Alabama","01","Bridgeport","0250","Bridgeport",2724,177,5,2,
"G0100255","1970","Alabama","01","Brighton","0255","Brighton",819,1457,0,1,
"G0100275","1970","Alabama","01","Brundidge","0275","Brundidge",1346,1361,1,1,
"G0100280","1970","Alabama","01","Butler","0280","Butler",1893,171,0,0,
"G0100285","1970","Alabama","01","Calera","0285","Calera",1392,258,2,3,
"G0100290","1970","Alabama","01","Camden","0290","Camden",1296,445,0,1,
"G0100295","1970","Alabama","01","Camp Hill","0295","Camp Hill",586,964,4,0,
"G0100300","1970","Alabama","01","Carbon Hill","0300","Carbon Hill",1668,258,3,0,
"G0100335","1970","Alabama","01","Center Point (U)","0335","Center Point (U)",15627,30,4,14,
"G0100340","1970","Alabama","01","Centre","0340","Centre",2157,261,0,0,
"G0100345","1970","Alabama","01","Centreville","0345","Centreville",1673,558,0,2,
"G0100355","1970","Alabama","01","Chatom","0355","Chatom",782,277,0,0,
"G0100360","1970","Alabama","01","Cherokee","0360","Cherokee",1202,282,0,0,
"G0100365","1970","Alabama","01","Chickasaw","0365","Chickasaw",8420,14,0,13,
"G0100370","1970","Alabama","01","Childersburg","0370","Childersburg",3925,905,1,0,
"G0100375","1970","Alabama","01","Citronelle","0375","Citronelle",1553,379,0,3,
"G0100380","1970","Alabama","01","Clanton","0380","Clanton",4714,1152,0,2,
"G0100385","1970","Alabama","01","Clayton","0385","Clayton",826,799,0,1,
"G0100390","1970","Alabama","01","Clio","0390","Clio",591,474,0,0,
"G0100405","1970","Alabama","01","Collinsville","0405","Collinsville",982,318,0,0,
"G0100415","1970","Alabama","01","Columbiana","0415","Columbiana",1866,381,1,0,
"G0100420","1970","Alabama","01","Cordova","0420","Cordova",2436,314,0,0,
"G0100425","1970","Alabama","01","Cottonwood","0425","Cottonwood",846,303,0,0,
"G0100437","1970","Alabama","01","Craig (U)","0437","Craig (U)",1779,102,0,13,
"G0100440","1970","Alabama","01","Crossville","0440","Crossville",1034,0,0,1,
"G0100450","1970","Alabama","01","Cullman","0450","Cullman",12571,15,7,8,
"G0100455","1970","Alabama","01","Dadeville","0455","Dadeville",1924,921,1,1,
"G0100460","1970","Alabama","01","Daleville","0460","Daleville",4864,233,4,81,
"G0100465","1970","Alabama","01","Daphne","0465","Daphne",1356,1019,4,3,
"G0100480","1970","Alabama","01","Decatur","0480","Decatur",33096,4911,12,25,
"G0100485","1970","Alabama","01","Demopolis","0485","Demopolis",4002,3642,3,4,
"G0100492","1970","Alabama","01","Docena (U)","0492","Docena (U)",378,762,0,0,
"G0100495","1970","Alabama","01","Dora","0495","Dora",1617,245,0,0,
"G0100500","1970","Alabama","01","Dothan","0500","Dothan",27524,9132,26,51,
"G0100515","1970","Alabama","01","East Brewton","0515","East Brewton",2331,1,4,0,
"G0100520","1970","Alabama","01","Eclectic","0520","Eclectic",931,250,0,3,
"G0100530","1970","Alabama","01","Elba","0530","Elba",3667,964,1,2,
"G0100545","1970","Alabama","01","Enterprise","0545","Enterprise",12615,2940,9,27,
"G0100560","1970","Alabama","01","Eufaula","0560","Eufaula",5536,3556,1,9,
"G0100570","1970","Alabama","01","Eutaw","0570","Eutaw",1274,1531,0,0,
"G0100575","1970","Alabama","01","Evergreen","0575","Evergreen",2403,1521,0,0,
"G0100585","1970","Alabama","01","Fairfax (U)","0585","Fairfax (U)",2026,746,0,0,
"G0100590","1970","Alabama","01","Fairfield","0590","Fairfield",7449,6892,6,22,
"G0100595","1970","Alabama","01","Fairhope","0595","Fairhope",5250,452,2,16,
"G0100610","1970","Alabama","01","Fayette","0610","Fayette",3684,883,0,1,
"G0100622","1970","Alabama","01","Flat Creek-Wegra-Praco (U)","0622","Flat Creek-Wegra-Praco (U)",717,347,1,1,
"G0100630","1970","Alabama","01","Flomaton","0630","Flomaton",1378,200,6,0,
"G0100635","1970","Alabama","01","Florala","0635","Florala",2007,691,0,3,
"G0100640","1970","Alabama","01","Florence","0640","Florence",28877,5118,8,28,
"G0100645","1970","Alabama","01","Foley","0645","Foley",2627,739,1,1,
"G0100647","1970","Alabama","01","Forestdale (U)","0647","Forestdale (U)",6004,77,2,8,
"G0100650","1970","Alabama","01","Fort Deposit","0650","Fort Deposit",680,758,0,0,
"G0100652","1970","Alabama","01","Fort Mc Clellan (U)","0652","Fort Mc Clellan (U)",4124,1041,37,132,
"G0100655","1970","Alabama","01","Fort Payne","0655","Fort Payne",8094,337,2,2,
"G0100657","1970","Alabama","01","Fort Rucker (U)","0657","Fort Rucker (U)",12647,1182,46,367,
"G0100660","1970","Alabama","01","Frisco City","0660","Frisco City",1038,246,2,0,
"G0100675","1970","Alabama","01","Fultondale","0675","Fultondale",5148,9,3,3,
