GISJOIN,YEAR,STATE,STATEA,NAME,B18AA2000,B18AB2000,B18AC2000,B18AD2000,B18AE2000
"G010","2000","Alabama","01","Alabama",3162808,1155930,22430,61753,44179
"G020","2000","Alaska","02","Alaska",434534,21787,98043,38422,34146
"G040","2000","Arizona","04","Arizona",3873611,158873,255879,695743,146526
"G050","2000","Arkansas","05","Arkansas",2138598,418950,17808,62300,35744
"G060","2000","California","06","California",20170059,2263882,333346,9496715,1607646
"G080","2000","Colorado","08","Colorado",3560005,165063,44241,409765,122187
"G090","2000","Connecticut","09","Connecticut",2780355,309843,9639,230880,74848
"G100","2000","Delaware","10","Delaware",584773,150666,2731,32397,13033
"G110","2000","District Of Columbia","11","District of Columbia",176101,343312,1713,37487,13446
"G120","2000","Florida","12","Florida",12465029,2335505,53541,751988,376315
"G130","2000","Georgia","13","Georgia",5327281,2349542,21737,373705,114188
"G150","2000","Hawaii","15","Hawaii",294102,22003,3535,632554,259343
"G160","2000","Idaho","16","Idaho",1177304,5456,17645,67939,25609
"G170","2000","Illinois","17","Illinois",9125471,1876875,31006,1150925,235016
"G180","2000","Indiana","18","Indiana",5320022,510034,15815,158942,75672
"G190","2000","Iowa","19","Iowa",2748640,61853,8989,75064,31778
"G200","2000","Kansas","20","Kansas",2313944,154198,24936,138844,56496
"G210","2000","Kentucky","21","Kentucky",3640889,295994,8616,53827,42443
"G220","2000","Louisiana","22","Louisiana",2856161,1451944,25477,87129,48265
"G230","2000","Maine","23","Maine",1236014,6760,7098,12404,12647
"G240","2000","Maryland","24","Maryland",3391308,1477411,15423,308757,103587
"G250","2000","Massachusetts","25","Massachusetts",5367286,343454,15015,477337,146005
"G260","2000","Michigan","26","Michigan",7966053,1412742,58479,308754,192416
"G270","2000","Minnesota","27","Minnesota",4400282,171731,54967,209757,82742
"G280","2000","Mississippi","28","Mississippi",1746099,1033809,11652,33077,20021
"G290","2000","Missouri","29","Missouri",4748083,629391,25076,110600,82061
"G300","2000","Montana","30","Montana",817229,2692,56068,10476,15730
"G310","2000","Nebraska","31","Nebraska",1533261,68541,14896,70612,23953
"G320","2000","Nevada","32","Nevada",1501886,135477,26420,258046,76428
"G330","2000","New Hampshire","33","New Hampshire",1186851,9035,2964,23722,13214
"G340","2000","New Jersey","34","New Jersey",6104705,1141821,19492,934577,213755
"G350","2000","New Mexico","35","New Mexico",1214253,34343,173483,330640,66327
"G360","2000","New York","36","New York",12893689,3014385,82461,2395740,590182
"G370","2000","North Carolina","37","North Carolina",5804656,1737545,99551,304301,103260
"G380","2000","North Dakota","38","North Dakota",593181,3916,31329,6376,7398
"G390","2000","Ohio","39","Ohio",9645453,1301307,24486,224009,157885
"G400","2000","Oklahoma","40","Oklahoma",2628434,260968,273230,132037,155985
"G410","2000","Oregon","41","Oregon",2961623,55662,45211,254158,104745
"G420","2000","Pennsylvania","42","Pennsylvania",10484203,1224612,18348,411667,142224
"G440","2000","Rhode Island","44","Rhode Island",891191,46908,5121,76848,28251
"G450","2000","South Carolina","45","South Carolina",2695560,1185216,13718,77568,39950
"G460","2000","South Dakota","46","South Dakota",669404,4685,62283,8316,10156
"G470","2000","Tennessee","47","Tennessee",4563310,932809,15152,114903,63109
"G480","2000","Texas","48","Texas",14799505,2404566,118362,3014754,514633
"G490","2000","Utah","49","Utah",1992975,17657,29684,145658,47195
"G500","2000","Vermont","50","Vermont",589208,3063,2420,6801,7335
"G510","2000","Virginia","51","Virginia",5120110,1390293,21172,403871,143069
"G530","2000","Washington","53","Washington",4821823,190267,93301,575211,213519
"G540","2000","West Virginia","54","West Virginia",1718777,57232,3606,12941,15788
"G550","2000","Wisconsin","55","Wisconsin",4769857,304460,47228,175235,66895
"G560","2000","Wyoming","56","Wyoming",454670,3722,11133,15374,8883
