GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,NAME,B18AA1980,B18AB1980,B18AC1980,B18AD1980,B18AE1980
"G0100010005","1980","Alabama","01","Autauga","001","Autaugaville division","005","AUTAUGAVILLE",1004,2074,0,0,
"G0100010010","1980","Alabama","01","Autauga","001","Billingsley division","010","BILLINGSLEY",1524,727,6,0,
"G0100010015","1980","Alabama","01","Autauga","001","Marbury division","015","MARBURY",2174,661,0,0,
"G0100010020","1980","Alabama","01","Autauga","001","Prattville division","020","PRATTVILLE",20144,3762,91,85,
"G0100030005","1980","Alabama","01","Baldwin","003","Bay Minette division","005","BAY MINETTE",13911,2973,151,20,
"G0100030010","1980","Alabama","01","Baldwin","003","Daphne division","010","DAPHNE",10276,3164,60,0,
"G0100030015","1980","Alabama","01","Baldwin","003","Elberta division","015","ELBERTA",3970,196,20,0,
"G0100030020","1980","Alabama","01","Baldwin","003","Fairhope division","020","FAIRHOPE",11895,1757,51,0,
"G0100030025","1980","Alabama","01","Baldwin","003","Foley division","025","FOLEY",12323,1855,24,18,
"G0100030035","1980","Alabama","01","Baldwin","003","Robertsdale division","035","ROBERTSDALE",9295,551,79,23,
"G0100030040","1980","Alabama","01","Baldwin","003","Stockton division","040","STOCKTON",2312,1352,40,0,
"G0100030045","1980","Alabama","01","Baldwin","003","Summerdale division","045","SUMMERDALE",1940,187,7,3,
"G0100050005","1980","Alabama","01","Barbour","005","Bakerhill division","005","BAKERHILL",1402,728,3,0,
"G0100050010","1980","Alabama","01","Barbour","005","Clayton division","010","CLAYTON",1092,2041,0,0,
"G0100050015","1980","Alabama","01","Barbour","005","Clio division","015","CLIO",1929,1145,0,0,
"G0100050020","1980","Alabama","01","Barbour","005","Eufaula division","020","EUFAULA",7960,5793,18,65,
"G0100050025","1980","Alabama","01","Barbour","005","Louisville division","025","LOUISVILLE",1278,1296,0,0,
"G0100070008","1980","Alabama","01","Bibb","007","Centreville-Brent division","008","CENTREVILLE-BRENT",6696,2856,0,6,
"G0100070015","1980","Alabama","01","Bibb","007","Piper-Coleanor division","015","PIPER-COLEANOR",622,215,0,0,
