GISJOIN,YEAR,STATE,STATEA,NAME,B18AA1990,B18AB1990,B18AC1990,B18AD1990,B18AE1990
"G010","1990","Alabama","01","Alabama",2975797,1020705,16506,27579,
"G020","1990","Alaska","02","Alaska",415492,22451,85698,26402,
"G040","1990","Arizona","04","Arizona",2963186,110524,203527,387991,
"G050","1990","Arkansas","05","Arkansas",1944744,373912,12773,19296,
"G060","1990","California","06","California",20524327,2208801,242164,6784729,
"G080","1990","Colorado","08","Colorado",2905474,133146,27776,227998,
"G090","1990","Connecticut","09","Connecticut",2859353,274269,6654,146840,
"G100","1990","Delaware","10","Delaware",535094,112460,2019,16595,
"G110","1990","District Of Columbia","11","District of Columbia",179667,399604,1466,26163,
"G120","1990","Florida","12","Florida",10749285,1759534,36335,392772,
"G130","1990","Georgia","13","Georgia",4600148,1746565,13348,118155,
"G150","1990","Hawaii","15","Hawaii",369616,27195,5099,706319,
"G160","1990","Idaho","16","Idaho",950451,3370,13780,39148,
"G170","1990","Illinois","17","Illinois",8952978,1694273,21836,761515,
"G180","1990","Indiana","18","Indiana",5020700,432092,12720,78647,
"G190","1990","Iowa","19","Iowa",2683090,48090,7349,38226,
"G200","1990","Kansas","20","Kansas",2231986,143076,21965,80547,
"G210","1990","Kentucky","21","Kentucky",3391832,262907,5769,24788,
"G220","1990","Louisiana","22","Louisiana",2839138,1299281,18541,63013,
"G230","1990","Maine","23","Maine",1208360,5138,5998,8432,
"G240","1990","Maryland","24","Maryland",3393964,1189899,12972,184633,
"G250","1990","Massachusetts","25","Massachusetts",5405374,300130,12241,298680,
"G260","1990","Michigan","26","Michigan",7756086,1291706,55638,191867,
"G270","1990","Minnesota","27","Minnesota",4130395,94944,49909,99851,
"G280","1990","Mississippi","28","Mississippi",1633461,915057,8525,16173,
"G290","1990","Missouri","29","Missouri",4486228,548208,19835,62802,
"G300","1990","Montana","30","Montana",741111,2381,47679,7894,
"G310","1990","Nebraska","31","Nebraska",1480558,57404,12410,28013,
"G320","1990","Nevada","32","Nevada",1012695,78771,19637,90730,
"G330","1990","New Hampshire","33","New Hampshire",1087433,7198,2134,12487,
"G340","1990","New Jersey","34","New Jersey",6130465,1036825,14970,547928,
"G350","1990","New Mexico","35","New Mexico",1146028,30210,134355,204476,
"G360","1990","New York","36","New York",13385255,2859055,62651,1683494,
"G370","1990","North Carolina","37","North Carolina",5008491,1456323,80155,83668,
"G380","1990","North Dakota","38","North Dakota",604142,3524,25917,5217,
"G390","1990","Ohio","39","Ohio",9521756,1154826,20358,150175,
"G400","1990","Oklahoma","40","Oklahoma",2583512,233801,252420,75852,
"G410","1990","Oregon","41","Oregon",2636787,46178,38496,120860,
"G420","1990","Pennsylvania","42","Pennsylvania",10520201,1089795,14733,256914,
"G440","1990","Rhode Island","44","Rhode Island",917375,38861,4071,43157,
"G450","1990","South Carolina","45","South Carolina",2406974,1039884,8246,31599,
"G460","1990","South Dakota","46","South Dakota",637515,3258,50575,4656,
"G470","1990","Tennessee","47","Tennessee",4048068,778035,10039,41043,
"G480","1990","Texas","48","Texas",12774762,2021632,65877,2124239,
"G490","1990","Utah","49","Utah",1615845,11576,24283,71146,
"G500","1990","Vermont","50","Vermont",555088,1951,1696,4023,
"G510","1990","Virginia","51","Virginia",4791739,1162994,15282,217343,
"G530","1990","Washington","53","Washington",4308937,149801,81483,326471,
"G540","1990","West Virginia","54","West Virginia",1725523,56295,2458,9201,
"G550","1990","Wisconsin","55","Wisconsin",4512523,244539,39387,95320,
"G560","1990","Wyoming","56","Wyoming",427061,3606,9479,13442,
