GISJOIN,YEAR,STATE,STATEA,NAME,B18AA1970,B18AB1970,B18AC1970,B18AD1970,B18AE1970
"G010","1970","Alabama","01","Alabama",2533831,903467,2443,4424,
"G020","1970","Alaska","02","Alaska",236767,8911,16276,38428,
"G040","1970","Arizona","04","Arizona",1604948,53344,95812,16796,
"G050","1970","Arkansas","05","Arkansas",1565915,352445,2014,2921,
"G060","1970","California","06","California",17761032,1400143,91018,700941,
"G080","1970","Colorado","08","Colorado",2112352,66411,8836,19660,
"G090","1970","Connecticut","09","Connecticut",2835458,181177,2222,12852,
"G100","1970","Delaware","10","Delaware",466459,78276,656,2713,
"G110","1970","District Of Columbia","11","District Of Columbia",209272,537712,956,8570,
"G120","1970","Florida","12","Florida",5719343,1041651,6677,21772,
"G130","1970","Georgia","13","Georgia",3391242,1187149,2347,8837,
"G150","1970","Hawaii","15","Hawaii",298160,7573,1126,461702,
"G160","1970","Idaho","16","Idaho",698802,2130,6687,4948,
"G170","1970","Illinois","17","Illinois",9600381,1425674,11413,76508,
"G180","1970","Indiana","18","Indiana",4820324,357464,3887,11994,
"G190","1970","Iowa","19","Iowa",2782762,32596,2992,6026,
"G200","1970","Kansas","20","Kansas",2122068,106977,8672,8861,
"G210","1970","Kentucky","21","Kentucky",2981766,230793,1531,4616,
"G220","1970","Louisiana","22","Louisiana",2541498,1086832,5294,7682,
"G230","1970","Maine","23","Maine",985276,2800,2195,1777,
"G240","1970","Maryland","24","Maryland",3194888,699479,4239,23793,
"G250","1970","Massachusetts","25","Massachusetts",5477624,175817,4475,31254,
"G260","1970","Michigan","26","Michigan",7833474,991066,16854,33689,
"G270","1970","Minnesota","27","Minnesota",3736038,34868,23128,10937,
"G280","1970","Mississippi","28","Mississippi",1393283,815770,4113,3746,
"G290","1970","Missouri","29","Missouri",4177495,480172,5405,13429,
"G300","1970","Montana","30","Montana",663043,1995,27130,2241,
"G310","1970","Nebraska","31","Nebraska",1432867,39911,6624,4091,
"G320","1970","Nevada","32","Nevada",448177,27762,7933,4866,
"G330","1970","New Hampshire","33","New Hampshire",733106,2505,361,1709,
"G340","1970","New Jersey","34","New Jersey",6349908,770292,4706,43258,
"G350","1970","New Mexico","35","New Mexico",915815,19555,72788,7842,
"G360","1970","New York","36","New York",15834090,2168949,28355,205573,
"G370","1970","North Carolina","37","North Carolina",3901767,1126478,44406,9408,
"G380","1970","North Dakota","38","North Dakota",599485,2494,14369,1413,
"G390","1970","Ohio","39","Ohio",9646997,970477,6654,27889,
"G400","1970","Oklahoma","40","Oklahoma",2280362,171892,98468,8507,
"G410","1970","Oregon","41","Oregon",2032079,26308,13510,19488,
"G420","1970","Pennsylvania","42","Pennsylvania",10737732,1016514,5533,34130,
"G440","1970","Rhode Island","44","Rhode Island",914757,25338,1390,5240,
"G450","1970","South Carolina","45","South Carolina",1794430,789041,2241,4804,
"G460","1970","South Dakota","46","South Dakota",630333,1627,32365,1182,
"G470","1970","Tennessee","47","Tennessee",3293930,621261,2276,6220,
"G480","1970","Texas","48","Texas",9717128,1399005,17957,62640,
"G490","1970","Utah","49","Utah",1031926,6617,11273,9457,
"G500","1970","Vermont","50","Vermont",442553,761,229,787,
"G510","1970","Virginia","51","Virginia",3761514,861368,4853,20759,
"G530","1970","Washington","53","Washington",3251055,71308,33386,53420,
"G540","1970","West Virginia","54","West Virginia",1673480,67342,751,2664,
"G550","1970","Wisconsin","55","Wisconsin",4258959,128224,18924,11624,
"G560","1970","Wyoming","56","Wyoming",323024,2568,4980,1844,
