GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,NAME,B18AA1970,B18AB1970,B18AC1970,B18AD1970,B18AE1970
"G0100010005","1970","Alabama","01","Autauga","001","Autaugaville Division","005","Autaugaville Division",877,1998,1,0,
"G0100010010","1970","Alabama","01","Autauga","001","Billingsley Division","010","Billingsley Division",1198,754,0,0,
"G0100010015","1970","Alabama","01","Autauga","001","Marbury Division","015","Marbury Division",1568,627,0,3,
"G0100010020","1970","Alabama","01","Autauga","001","Prattville Division","020","Prattville Division",13868,3532,3,31,
"G0100030005","1970","Alabama","01","Baldwin","003","Bay Minette Division","005","Bay Minette Division",11147,2169,26,5,
"G0100030010","1970","Alabama","01","Baldwin","003","Daphne Division","010","Daphne Division",5622,2823,8,8,
"G0100030015","1970","Alabama","01","Baldwin","003","Elberta Division","015","Elberta Division",2894,176,2,4,
"G0100030020","1970","Alabama","01","Baldwin","003","Fairhope Division","020","Fairhope Division",9024,1512,8,18,
"G0100030025","1970","Alabama","01","Baldwin","003","Foley Division","025","Foley Division",8789,1595,7,25,
"G0100030035","1970","Alabama","01","Baldwin","003","Robertsdale Division","035","Robertsdale Division",7614,609,19,15,
"G0100030040","1970","Alabama","01","Baldwin","003","Stockton Division","040","Stockton Division",2004,1460,6,0,
"G0100030045","1970","Alabama","01","Baldwin","003","Summerdale Division","045","Summerdale Division",1556,225,8,4,
"G0100050005","1970","Alabama","01","Barbour","005","Bakerhill Division","005","Bakerhill Division",1035,778,0,0,
"G0100050010","1970","Alabama","01","Barbour","005","Clayton Division","010","Clayton Division",1242,2007,0,1,
"G0100050015","1970","Alabama","01","Barbour","005","Clio Division","015","Clio Division",2163,1046,6,0,
"G0100050020","1970","Alabama","01","Barbour","005","Eufaula Division","020","Eufaula Division",6503,5452,3,9,
"G0100050025","1970","Alabama","01","Barbour","005","Louisville Division","025","Louisville Division",1191,1106,1,0,
"G0100070005","1970","Alabama","01","Bibb","007","Brent Division","005","Brent Division",2812,2009,1,2,
"G0100070010","1970","Alabama","01","Bibb","007","Centreville Division","010","Centreville Division",3080,831,0,2,
"G0100070015","1970","Alabama","01","Bibb","007","Piper-Coleanor Division","015","Piper-Coleanor Division",545,304,0,2,
"G0100070020","1970","Alabama","01","Bibb","007","West Blocton Division","020","West Blocton Division",3516,706,0,2,
"G0100090005","1970","Alabama","01","Blount","009","Blountsville Division","005","Blountsville Division",4162,2,1,0,
"G0100090010","1970","Alabama","01","Blount","009","Brooksville Division","010","Brooksville Division",3069,0,2,0,
"G0100090015","1970","Alabama","01","Blount","009","Clarence Division","015","Clarence Division",3373,0,0,1,
"G0100090020","1970","Alabama","01","Blount","009","Cleveland Division","020","Cleveland Division",1873,1,0,1,
"G0100090025","1970","Alabama","01","Blount","009","Hayden Division","025","Hayden Division",2902,152,0,2,
"G0100090030","1970","Alabama","01","Blount","009","Locust Fork Division","030","Locust Fork Division",2703,48,0,0,
"G0100090035","1970","Alabama","01","Blount","009","Oneonta Division","035","Oneonta Division",8123,426,12,0,
"G0100110005","1970","Alabama","01","Bullock","011","Fitzpatrick Division","005","Fitzpatrick Division",320,835,0,0,
"G0100110010","1970","Alabama","01","Bullock","011","Inverness Division","010","Inverness Division",1081,1160,0,0,
"G0100110015","1970","Alabama","01","Bullock","011","Midway Division","015","Midway Division",324,2115,2,0,
"G0100110020","1970","Alabama","01","Bullock","011","Union Springs Division","020","Union Springs Division",2132,3855,0,0,
"G0100130005","1970","Alabama","01","Butler","013","Chapman Division","005","Chapman Division",1736,335,1,2,
"G0100130010","1970","Alabama","01","Butler","013","Forest Home Division","010","Forest Home Division",776,1276,0,0,
"G0100130015","1970","Alabama","01","Butler","013","Georgiana-Mc Kenzie Division","015","Georgiana-Mc Kenzie Division",3116,2060,0,2,
"G0100130020","1970","Alabama","01","Butler","013","Greenville Division","020","Greenville Division",5402,3792,0,4,
"G0100130025","1970","Alabama","01","Butler","013","Greenville East Division","025","Greenville East Division",2144,1357,2,2,
"G0100150005","1970","Alabama","01","Calhoun","015","Anniston Division","005","Anniston Division",20700,10891,15,31,
"G0100150010","1970","Alabama","01","Calhoun","015","Choccolocco Division","010","Choccolocco Division",3056,342,2,6,
"G0100150015","1970","Alabama","01","Calhoun","015","Jacksonville Division","015","Jacksonville Division",10502,559,5,25,
"G0100150020","1970","Alabama","01","Calhoun","015","Ohatchee Division","020","Ohatchee Division",1688,329,0,4,
"G0100150025","1970","Alabama","01","Calhoun","015","Oxford Division","025","Oxford Division",9752,1498,10,4,
"G0100150030","1970","Alabama","01","Calhoun","015","Piedmont Division","030","Piedmont Division",6856,632,0,4,
"G0100150035","1970","Alabama","01","Calhoun","015","Weaver Division","035","Weaver Division",16896,1114,42,152,
"G0100150040","1970","Alabama","01","Calhoun","015","Websters Chapel-Alexandria Val","040","Websters Chapel-Alexandria Val",4608,414,0,2,
"G0100150045","1970","Alabama","01","Calhoun","015","West End Division","045","West End Division",11128,1805,11,9,
