GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,NAME,B18AA1970,B18AB1970,B18AC1970,B18AD1970,B18AE1970
"G0100010","1970","Alabama","01","Autauga","001","Autauga",17511,6911,4,34,
"G0100030","1970","Alabama","01","Baldwin","003","Baldwin",48650,10569,84,79,
"G0100050","1970","Alabama","01","Barbour","005","Barbour",12134,10389,10,10,
"G0100070","1970","Alabama","01","Bibb","007","Bibb",9953,3850,1,8,
"G0100090","1970","Alabama","01","Blount","009","Blount",26205,629,15,4,
"G0100110","1970","Alabama","01","Bullock","011","Bullock",3857,7965,2,0,
"G0100130","1970","Alabama","01","Butler","013","Butler",13174,8820,3,10,
"G0100150","1970","Alabama","01","Calhoun","015","Calhoun",85186,17584,85,237,
"G0100170","1970","Alabama","01","Chambers","017","Chambers",23695,12637,10,14,
"G0100190","1970","Alabama","01","Cherokee","019","Cherokee",14199,1393,4,10,
"G0100210","1970","Alabama","01","Chilton","021","Chilton",21762,3410,4,4,
"G0100230","1970","Alabama","01","Choctaw","023","Choctaw",9276,7309,0,4,
"G0100250","1970","Alabama","01","Clarke","025","Clarke",15008,11701,8,7,
"G0100270","1970","Alabama","01","Clay","027","Clay",10578,2041,5,12,
"G0100290","1970","Alabama","01","Cleburne","029","Cleburne",10346,640,6,4,
"G0100310","1970","Alabama","01","Coffee","031","Coffee",28853,5965,20,34,
"G0100330","1970","Alabama","01","Colbert","033","Colbert",41105,8480,20,27,
"G0100350","1970","Alabama","01","Conecuh","035","Conecuh",8654,6986,2,3,
"G0100370","1970","Alabama","01","Coosa","037","Coosa",6906,3736,7,13,
"G0100390","1970","Alabama","01","Covington","039","Covington",29015,5043,7,14,
"G0100410","1970","Alabama","01","Crenshaw","041","Crenshaw",9386,3779,5,18,
"G0100430","1970","Alabama","01","Cullman","043","Cullman",51872,521,20,32,
"G0100450","1970","Alabama","01","Dale","045","Dale",45817,6448,77,596,
"G0100470","1970","Alabama","01","Dallas","047","Dallas",26330,28892,18,56,
"G0100490","1970","Alabama","01","DeKalb","049","De Kalb",41123,821,16,21,
"G0100510","1970","Alabama","01","Elmore","051","Elmore",24045,9454,11,25,
"G0100530","1970","Alabama","01","Escambia","053","Escambia",23748,10601,541,16,
"G0100550","1970","Alabama","01","Etowah","055","Etowah",81010,13044,28,62,
"G0100570","1970","Alabama","01","Fayette","057","Fayette",13989,2254,1,8,
"G0100590","1970","Alabama","01","Franklin","059","Franklin",22728,1198,1,6,
"G0100610","1970","Alabama","01","Geneva","061","Geneva",19029,2866,24,5,
"G0100630","1970","Alabama","01","Greene","063","Greene",2619,8027,1,3,
"G0100650","1970","Alabama","01","Hale","065","Hale",5336,10542,2,8,
"G0100670","1970","Alabama","01","Henry","067","Henry",7907,5341,2,4,
"G0100690","1970","Alabama","01","Houston","069","Houston",43069,13408,38,59,
"G0100710","1970","Alabama","01","Jackson","071","Jackson",37175,1980,22,25,
"G0100730","1970","Alabama","01","Jefferson","073","Jefferson",437433,206464,371,723,
"G0100750","1970","Alabama","01","Lamar","075","Lamar",12366,1955,0,14,
"G0100770","1970","Alabama","01","Lauderdale","077","Lauderdale",60866,7196,9,40,
"G0100790","1970","Alabama","01","Lawrence","079","Lawrence",22161,5114,1,5,
"G0100810","1970","Alabama","01","Lee","081","Lee",44109,17012,11,136,
"G0100830","1970","Alabama","01","Limestone","083","Limestone",34528,7123,9,39,
"G0100850","1970","Alabama","01","Lowndes","085","Lowndes",2976,9917,1,3,
"G0100870","1970","Alabama","01","Macon","087","Macon",4545,20147,8,141,
"G0100890","1970","Alabama","01","Madison","089","Madison",157804,27997,111,628,
"G0100910","1970","Alabama","01","Marengo","091","Marengo",10640,13157,6,16,
"G0100930","1970","Alabama","01","Marion","093","Marion",23106,662,10,10,
"G0100950","1970","Alabama","01","Marshall","095","Marshall",53037,1093,14,67,
"G0100970","1970","Alabama","01","Mobile","097","Mobile",214070,102383,346,509,
"G0100990","1970","Alabama","01","Monroe","099","Monroe",11314,9497,60,12,
"G0101010","1970","Alabama","01","Montgomery","101","Montgomery",106670,60771,117,232,
"G0101030","1970","Alabama","01","Morgan","103","Morgan",70004,7232,31,39,
"G0101050","1970","Alabama","01","Perry","105","Perry",6332,9033,14,9,
"G0101070","1970","Alabama","01","Pickens","107","Pickens",11854,8466,4,2,
"G0101090","1970","Alabama","01","Pike","109","Pike",16367,8642,5,24,
"G0101110","1970","Alabama","01","Randolph","111","Randolph",14245,4075,5,6,
"G0101130","1970","Alabama","01","Russell","113","Russell",24599,20757,13,25,
"G0101150","1970","Alabama","01","St Clair","115","St Clair",24043,3896,7,10,
"G0101170","1970","Alabama","01","Shelby","117","Shelby",31568,6416,26,27,
"G0101190","1970","Alabama","01","Sumter","119","Sumter",5724,11242,2,6,
"G0101210","1970","Alabama","01","Talladega","121","Talladega",45180,20020,34,46,
"G0101230","1970","Alabama","01","Tallapoosa","123","Tallapoosa",24465,9356,12,7,
"G0101250","1970","Alabama","01","Tuscaloosa","125","Tuscaloosa",87891,27972,24,142,
"G0101270","1970","Alabama","01","Walker","127","Walker",51635,4567,21,23,
"G0101290","1970","Alabama","01","Washington","129","Washington",11315,4860,63,3,
"G0101310","1970","Alabama","01","Wilcox","131","Wilcox",5140,11160,1,2,
"G0101330","1970","Alabama","01","Winston","133","Winston",16594,51,3,6,
"G0200100","1970","Alaska","02","Aleutian Islands","010","Aleutian Islands",5564,237,61,2195,
"G0200200","1970","Alaska","02","Anchorage","020","Anchorage",112965,5147,1775,4655,
"G0200300","1970","Alaska","02","Angoon","030","Angoon",114,0,371,18,
"G0200400","1970","Alaska","02","Barrow","040","Barrow",330,14,10,2309,
"G0200500","1970","Alaska","02","Bethel","050","Bethel",747,24,65,6743,
"G0200600","1970","Alaska","02","Bristol Bay Borough","060","Bristol Bay Borough",922,31,20,174,
"G0200620","1970","Alaska","02","Bristol Bay Division","062","Bristol Bay Division",671,5,272,2537,
"G0200800","1970","Alaska","02","Cordova-McCarthy","080","Cordova-Mc Carthy",1529,2,49,277,
"G0200900","1970","Alaska","02","Fairbanks North Star","090","Fairbanks",40933,2580,1020,1331,
"G0201000","1970","Alaska","02","Haines","100","Haines",1175,0,315,14,
"G0201100","1970","Alaska","02","Juneau","110","Juneau",11422,106,1477,551,
"G0201200","1970","Alaska","02","Kenai-Cook Inlet","120","Kenai-Cook Inlet",13047,105,478,620,
"G0201300","1970","Alaska","02","Ketchikan Gateway","130","Ketchikan",8527,44,1179,291,
"G0201400","1970","Alaska","02","Kobuk","140","Kobuk",534,5,8,3887,
"G0201500","1970","Alaska","02","Kodiak Island","150","Kodiak",7215,157,106,1931,
