GISJOIN,YEAR,STATE,STATEA,PLACE,PLACEA,NAME,B18AA2010,B18AB2010,B18AC2010,B18AD2010,B18AE2010
"G01000100","2010","Alabama","01","Abanda CDP","00100","Abanda CDP",129,58,0,2,3
"G01000124","2010","Alabama","01","Abbeville city","00124","Abbeville city",1463,1113,2,79,31
"G01000460","2010","Alabama","01","Adamsville city","00460","Adamsville city",2366,2030,23,65,38
"G01000484","2010","Alabama","01","Addison town","00484","Addison town",751,1,0,1,5
"G01000676","2010","Alabama","01","Akron town","00676","Akron town",47,308,0,0,1
"G01000820","2010","Alabama","01","Alabaster city","00820","Alabaster city",24103,4105,124,1550,470
"G01000988","2010","Alabama","01","Albertville city","00988","Albertville city",16062,405,170,4081,442
"G01001132","2010","Alabama","01","Alexander City city","01132","Alexander City city",9246,4757,35,702,135
"G01001180","2010","Alabama","01","Alexandria CDP","01180","Alexandria CDP",3425,400,12,47,33
"G01001228","2010","Alabama","01","Aliceville city","01228","Aliceville city",563,1861,2,20,40
"G01001396","2010","Alabama","01","Allgood town","01396","Allgood town",495,4,2,115,6
"G01001660","2010","Alabama","01","Altoona town","01660","Altoona town",894,16,2,4,17
"G01001708","2010","Alabama","01","Andalusia city","01708","Andalusia city",6356,2337,37,130,155
"G01001756","2010","Alabama","01","Anderson town","01756","Anderson town",276,0,1,0,5
"G01001852","2010","Alabama","01","Anniston city","01852","Anniston city",10327,11903,69,418,389
"G01002116","2010","Alabama","01","Arab city","02116","Arab city",7775,8,50,125,92
"G01002260","2010","Alabama","01","Ardmore town","02260","Ardmore town",1126,23,9,19,17
"G01002320","2010","Alabama","01","Argo town","02320","Argo town",3832,148,16,24,51
"G01002428","2010","Alabama","01","Ariton town","02428","Ariton town",598,147,0,8,11
"G01002500","2010","Alabama","01","Arley town","02500","Arley town",337,0,2,3,15
"G01002836","2010","Alabama","01","Ashford town","02836","Ashford town",1696,418,4,14,16
"G01002860","2010","Alabama","01","Ashland town","02860","Ashland town",1456,491,7,56,27
"G01002908","2010","Alabama","01","Ashville city","02908","Ashville city",1677,450,4,37,44
"G01002956","2010","Alabama","01","Athens city","02956","Athens city",15976,3841,139,1519,422
"G01003004","2010","Alabama","01","Atmore city","03004","Atmore city",4073,5672,184,119,146
"G01003028","2010","Alabama","01","Attalla city","03028","Attalla city",4929,771,24,204,120
"G01003076","2010","Alabama","01","Auburn city","03076","Auburn city",40069,8834,149,3451,877
"G01003220","2010","Alabama","01","Autaugaville town","03220","Autaugaville town",272,581,2,3,12
"G01003364","2010","Alabama","01","Avon town","03364","Avon town",514,10,10,0,9
"G01003508","2010","Alabama","01","Axis CDP","03508","Axis CDP",506,204,24,3,20
"G01003556","2010","Alabama","01","Babbie town","03556","Babbie town",583,0,0,10,10
"G01003676","2010","Alabama","01","Baileyton town","03676","Baileyton town",587,1,3,6,13
"G01003724","2010","Alabama","01","Bakerhill town","03724","Bakerhill town",172,99,2,2,4
"G01003820","2010","Alabama","01","Ballplay CDP","03820","Ballplay CDP",1541,2,11,7,19
"G01003940","2010","Alabama","01","Banks town","03940","Banks town",124,44,4,2,5
"G01004660","2010","Alabama","01","Bay Minette city","04660","Bay Minette city",4861,2837,77,136,133
"G01004684","2010","Alabama","01","Bayou La Batre city","04684","Bayou La Batre city",1543,314,9,610,82
"G01004852","2010","Alabama","01","Bear Creek town","04852","Bear Creek town",1039,1,7,10,13
"G01004900","2010","Alabama","01","Beatrice town","04900","Beatrice town",71,229,1,0,0
"G01004948","2010","Alabama","01","Beaverton town","04948","Beaverton town",191,10,0,0,0
"G01005140","2010","Alabama","01","Belgreen CDP","05140","Belgreen CDP",124,0,0,5,0
"G01005164","2010","Alabama","01","Belk town","05164","Belk town",206,6,0,3,0
"G01005188","2010","Alabama","01","Bellamy CDP","05188","Bellamy CDP",45,493,0,5,0
"G01005212","2010","Alabama","01","Belle Fontaine CDP","05212","Belle Fontaine CDP",561,10,3,23,11
"G01005692","2010","Alabama","01","Benton town","05692","Benton town",40,9,0,0,0
"G01005932","2010","Alabama","01","Berry town","05932","Berry town",1042,85,0,7,14
"G01005980","2010","Alabama","01","Bessemer city","05980","Bessemer city",6669,19546,88,911,242
"G01006460","2010","Alabama","01","Billingsley town","06460","Billingsley town",124,16,3,1,0
"G01007000","2010","Alabama","01","Birmingham city","07000","Birmingham city",47258,155791,445,6544,2199
"G01007120","2010","Alabama","01","Black town","07120","Black town",191,13,0,0,3
"G01007456","2010","Alabama","01","Blountsville town","07456","Blountsville town",1470,11,16,170,17
"G01007588","2010","Alabama","01","Blue Ridge CDP","07588","Blue Ridge CDP",1267,36,10,16,12
"G01007672","2010","Alabama","01","Blue Springs town","07672","Blue Springs town",89,6,0,1,0
"G01007912","2010","Alabama","01","Boaz city","07912","Boaz city",8337,169,40,848,157
"G01008104","2010","Alabama","01","Boligee town","08104","Boligee town",29,296,0,0,3
"G01008248","2010","Alabama","01","Bon Air town","08248","Bon Air town",93,8,3,4,8
"G01008680","2010","Alabama","01","Boykin CDP","08680","Boykin CDP",11,262,0,2,0
"G01009016","2010","Alabama","01","Brantley town","09016","Brantley town",454,314,5,13,23
"G01009064","2010","Alabama","01","Brantleyville CDP","09064","Brantleyville CDP",726,29,8,90,31
"G01009136","2010","Alabama","01","Brent city","09136","Brent city",2229,2648,7,33,30
"G01009208","2010","Alabama","01","Brewton city","09208","Brewton city",2927,2304,38,85,54
"G01009328","2010","Alabama","01","Bridgeport city","09328","Bridgeport city",2031,207,46,36,98
"G01009400","2010","Alabama","01","Brighton city","09400","Brighton city",190,2384,28,317,26
"G01009424","2010","Alabama","01","Brilliant town","09424","Brilliant town",885,2,1,3,9
"G01009457","2010","Alabama","01","Bristow Cove CDP","09457","Bristow Cove CDP",622,0,10,36,15
"G01009500","2010","Alabama","01","Brook Highland CDP","09500","Brook Highland CDP",4966,1092,11,532,145
"G01009736","2010","Alabama","01","Brookside town","09736","Brookside town",1084,252,4,4,19
"G01009808","2010","Alabama","01","Brookwood town","09808","Brookwood town",1685,96,12,9,26
"G01009880","2010","Alabama","01","Broomtown CDP","09880","Broomtown CDP",179,3,0,0,0
"G01010240","2010","Alabama","01","Brundidge city","10240","Brundidge city",708,1306,10,25,27
"G01010456","2010","Alabama","01","Bucks CDP","10456","Bucks CDP",19,10,1,0,2
"G01011032","2010","Alabama","01","Butler town","11032","Butler town",1352,505,4,19,14
"G01011416","2010","Alabama","01","Calera city","11416","Calera city",8273,2668,23,420,236
"G01011488","2010","Alabama","01","Calvert CDP","11488","Calvert CDP",147,98,19,6,7
"G01011512","2010","Alabama","01","Camden city","11512","Camden city",848,1159,2,3,8
"G01011680","2010","Alabama","01","Camp Hill town","11680","Camp Hill town",103,896,1,6,8
"G01012016","2010","Alabama","01","Carbon Hill city","12016","Carbon Hill city",1807,165,4,16,29
"G01012040","2010","Alabama","01","Cardiff town","12040","Cardiff town",52,3,0,0,0
"G01012070","2010","Alabama","01","Carlisle-Rockledge CDP","12070","Carlisle-Rockledge CDP",2030,20,19,33,35
"G01012112","2010","Alabama","01","Carlton CDP","12112","Carlton CDP",43,22,0,0,0
"G01012160","2010","Alabama","01","Carolina town","12160","Carolina town",287,1,1,0,8
"G01012304","2010","Alabama","01","Carrollton town","12304","Carrollton town",499,439,1,37,43
"G01012496","2010","Alabama","01","Castleberry town","12496","Castleberry town",345,224,2,1,11
"G01012544","2010","Alabama","01","Catherine CDP","12544","Catherine CDP",16,6,0,0,0
"G01012760","2010","Alabama","01","Cedar Bluff town","12760","Cedar Bluff town",1568,181,12,16,43
"G01013264","2010","Alabama","01","Center Point city","13264","Center Point city",5519,10635,35,546,186
"G01013648","2010","Alabama","01","Centre city","13648","Centre city",3034,347,13,22,73
"G01013672","2010","Alabama","01","Centreville city","13672","Centreville city",2007,657,7,76,31
"G01014008","2010","Alabama","01","Chatom town","14008","Chatom town",878,401,0,4,5
"G01014104","2010","Alabama","01","Chelsea city","14104","Chelsea city",9109,582,33,329,130
"G01014152","2010","Alabama","01","Cherokee town","14152","Cherokee town",813,192,5,14,24
"G01014392","2010","Alabama","01","Chickasaw city","14392","Chickasaw city",3848,2049,50,88,71
"G01014464","2010","Alabama","01","Childersburg city","14464","Childersburg city",3108,1911,21,42,93
"G01014728","2010","Alabama","01","Choccolocco CDP","14728","Choccolocco CDP",2454,202,9,87,52
"G01014968","2010","Alabama","01","Chunchula CDP","14968","Chunchula CDP",96,109,0,0,5
