GISJOIN,YEAR,STATE,STATEA,NAME,B18AA2010,B18AB2010,B18AC2010,B18AD2010,B18AE2010
"G010","2010","Alabama","01","Alabama",3275394,1251311,28218,153562,71251
"G020","2010","Alaska","02","Alaska",473576,23263,104871,56646,51875
"G040","2010","Arizona","04","Arizona",4667121,259008,296529,951059,218300
"G050","2010","Arkansas","05","Arkansas",2245229,449895,22248,141536,57010
"G060","2010","California","06","California",21453934,2299072,362801,11322765,1815384
"G080","2010","Colorado","08","Colorado",4089202,201737,56010,509791,172456
"G090","2010","Connecticut","09","Connecticut",2772410,362296,11256,335459,92676
"G100","2010","Delaware","10","Delaware",618617,191814,4181,59468,23854
"G110","2010","District Of Columbia","11","District of Columbia",231471,305125,2079,45732,17316
"G120","2010","Florida","12","Florida",14109162,2999862,71458,1148251,472577
"G130","2010","Georgia","13","Georgia",5787440,2950435,32151,710138,207489
"G150","2010","Hawaii","15","Hawaii",336599,21424,4164,677485,320629
"G160","2010","Idaho","16","Idaho",1396487,9810,21441,100909,38935
"G170","2010","Illinois","17","Illinois",9177877,1866414,43963,1452396,289982
"G180","2010","Indiana","18","Indiana",5467906,591397,18462,278136,127901
"G190","2010","Iowa","19","Iowa",2781561,89148,11084,111229,53333
"G200","2010","Kansas","20","Kansas",2391044,167864,28150,180127,85933
"G210","2010","Kentucky","21","Kentucky",3809537,337520,10120,106982,75208
"G220","2010","Louisiana","22","Louisiana",2836192,1452396,30579,141322,72883
"G230","2010","Maine","23","Maine",1264971,15707,8568,18174,20941
"G240","2010","Maryland","24","Maryland",3359284,1700298,20420,528842,164708
"G250","2010","Massachusetts","25","Massachusetts",5265236,434398,18850,657142,172003
"G260","2010","Michigan","26","Michigan",7803120,1400362,62007,387832,230319
"G270","2010","Minnesota","27","Minnesota",4524062,274412,60916,319390,125145
"G280","2010","Mississippi","28","Mississippi",1754684,1098385,15030,65091,34107
"G290","2010","Missouri","29","Missouri",4958770,693391,27376,184801,124589
"G300","2010","Montana","30","Montana",884961,4027,62555,12896,24976
"G310","2010","Nebraska","31","Nebraska",1572838,82885,18427,112681,39510
"G320","2010","Nevada","32","Nevada",1786688,218626,32062,537100,126075
"G330","2010","New Hampshire","33","New Hampshire",1236050,15035,3150,40853,21382
"G340","2010","New Jersey","34","New Jersey",6029248,1204826,29026,1288491,240303
"G350","2010","New Mexico","35","New Mexico",1407876,42550,193222,338521,77010
"G360","2010","New York","36","New York",12740974,3073800,106906,2870573,585849
"G370","2010","North Carolina","37","North Carolina",6528950,2048628,122110,629596,206199
"G380","2010","North Dakota","38","North Dakota",605449,7960,36591,10738,11853
"G390","2010","Ohio","39","Ohio",9539437,1407681,25292,326329,237765
"G400","2010","Oklahoma","40","Oklahoma",2706845,277644,321687,223854,221321
"G410","2010","Oregon","41","Oregon",3204614,69206,53203,359292,144759
"G420","2010","Pennsylvania","42","Pennsylvania",10406288,1377689,26843,653724,237835
"G440","2010","Rhode Island","44","Rhode Island",856869,60189,6058,94664,34787
"G450","2010","South Carolina","45","South Carolina",3060000,1290684,19524,175221,79935
"G460","2010","South Dakota","46","South Dakota",699392,10207,71817,15481,17283
"G470","2010","Tennessee","47","Tennessee",4921948,1057315,19994,236839,110009
"G480","2010","Texas","48","Texas",17701552,2979598,170972,3614438,679001
"G490","2010","Utah","49","Utah",2379560,29287,32927,246593,75518
"G500","2010","Vermont","50","Vermont",596292,6277,2207,10212,10753
"G510","2010","Virginia","51","Virginia",5486852,1551399,29225,700148,233400
"G530","2010","Washington","53","Washington",5196362,240042,103869,871341,312926
"G540","2010","West Virginia","54","West Virginia",1739988,63124,3787,18953,27142
"G550","2010","Wisconsin","55","Wisconsin",4902067,359148,54526,266928,104317
"G560","2010","Wyoming","56","Wyoming",511279,4748,13336,21902,12361
"G720","2010","Puerto Rico","72","Puerto Rico",2825100,461498,19839,297106,122246
